,NAME,B02001_001E,B02001_002E,state,county,tract,white_ratio,quantile_category,tractid
0,"Census Tract 3335.02, Middlesex County, Massachusetts",3411,3002,25,017,333502,0.8800938141307535,3,25017333502
1,"Census Tract 3354, Middlesex County, Massachusetts",5337,5073,25,017,335400,0.9505340078695896,4,25017335400
2,"Census Tract 3364.01, Middlesex County, Massachusetts",4744,3771,25,017,336401,0.7948988195615514,2,25017336401
3,"Census Tract 3397, Middlesex County, Massachusetts",4147,2792,25,017,339700,0.6732577767060526,1,25017339700
4,"Census Tract 3523, Middlesex County, Massachusetts",4261,2588,25,017,352300,0.607369162168505,1,25017352300
5,"Census Tract 3532, Middlesex County, Massachusetts",5131,3306,25,017,353200,0.6443188462288053,1,25017353200
6,"Census Tract 3101, Middlesex County, Massachusetts",5924,4042,25,017,310100,0.6823092505064146,1,25017310100
7,"Census Tract 801, Suffolk County, Massachusetts",2724,563,25,025,080100,0.2066813509544787,1,25025080100
8,"Census Tract 1204, Suffolk County, Massachusetts",6324,4938,25,025,120400,0.7808349146110057,2,25025120400
9,"Census Tract 1207, Suffolk County, Massachusetts",2291,1489,25,025,120700,0.6499345264076822,1,25025120700
10,"Census Tract 5105.01, Plymouth County, Massachusetts",2762,1299,25,023,510501,0.4703113685734975,1,25023510501
11,"Census Tract 5107, Plymouth County, Massachusetts",6180,2481,25,023,510700,0.4014563106796116,1,25023510700
12,"Census Tract 5112, Plymouth County, Massachusetts",5028,2140,25,023,511200,0.42561654733492443,1,25023511200
13,"Census Tract 5116, Plymouth County, Massachusetts",6523,2888,25,023,511600,0.44274107005978847,1,25023511600
14,"Census Tract 5117.02, Plymouth County, Massachusetts",2606,1875,25,023,511702,0.7194934765924789,2,25023511702
15,"Census Tract 5241.01, Plymouth County, Massachusetts",3281,3116,25,023,524101,0.9497104541298385,4,25023524101
16,"Census Tract 5411, Plymouth County, Massachusetts",5462,5182,25,023,541100,0.9487367264738191,4,25023541100
17,"Census Tract 5422, Plymouth County, Massachusetts",6438,6029,25,023,542200,0.936470953712333,4,25023542200
18,"Census Tract 5202.01, Plymouth County, Massachusetts",3761,3355,25,023,520201,0.8920499867056634,3,25023520201
19,"Census Tract 5211.02, Plymouth County, Massachusetts",3645,3266,25,023,521102,0.8960219478737997,3,25023521102
20,"Census Tract 5212.01, Plymouth County, Massachusetts",3108,3028,25,023,521201,0.9742599742599742,4,25023521201
21,"Census Tract 5221.02, Plymouth County, Massachusetts",5867,5646,25,023,522102,0.9623316856996762,4,25023522102
22,"Census Tract 5231, Plymouth County, Massachusetts",3169,2812,25,023,523100,0.8873461659829599,3,25023523100
23,"Census Tract 5241.02, Plymouth County, Massachusetts",3836,3535,25,023,524102,0.9215328467153284,3,25023524102
24,"Census Tract 5251.01, Plymouth County, Massachusetts",6347,5528,25,023,525101,0.8709626595241846,3,25023525101
25,"Census Tract 5253, Plymouth County, Massachusetts",1677,965,25,023,525300,0.5754323196183662,1,25023525300
26,"Census Tract 5304, Plymouth County, Massachusetts",6074,5776,25,023,530400,0.9509384260783668,4,25023530400
27,"Census Tract 5454, Plymouth County, Massachusetts",6020,5042,25,023,545400,0.8375415282392027,2,25023545400
28,"Census Tract 1304.04, Suffolk County, Massachusetts",3258,2256,25,025,130404,0.6924493554327809,1,25025130404
29,"Census Tract 1304.06, Suffolk County, Massachusetts",6011,2374,25,025,130406,0.39494260522375646,1,25025130406
30,"Census Tract 1401.05, Suffolk County, Massachusetts",4149,2065,25,025,140105,0.4977102916365389,1,25025140105
31,"Census Tract 1401.06, Suffolk County, Massachusetts",2179,588,25,025,140106,0.26984855438274435,1,25025140106
32,"Census Tract 1401.07, Suffolk County, Massachusetts",2688,1366,25,025,140107,0.5081845238095238,1,25025140107
33,"Census Tract 1601.01, Suffolk County, Massachusetts",9286,4042,25,025,160101,0.4352789144949386,1,25025160101
34,"Census Tract 1605.01, Suffolk County, Massachusetts",5145,2423,25,025,160501,0.47094266277939745,1,25025160501
35,"Census Tract 1605.02, Suffolk County, Massachusetts",4832,3038,25,025,160502,0.6287251655629139,1,25025160502
36,"Census Tract 1606.01, Suffolk County, Massachusetts",4833,2827,25,025,160601,0.584936892199462,1,25025160601
37,"Census Tract 1606.02, Suffolk County, Massachusetts",5289,2669,25,025,160602,0.5046322556248818,1,25025160602
38,"Census Tract 1705.01, Suffolk County, Massachusetts",3540,2560,25,025,170501,0.7231638418079096,2,25025170501
39,"Census Tract 1705.02, Suffolk County, Massachusetts",2652,2129,25,025,170502,0.802790346907994,2,25025170502
40,"Census Tract 1706.01, Suffolk County, Massachusetts",5571,4551,25,025,170601,0.8169089929994615,2,25025170601
41,"Census Tract 1707.01, Suffolk County, Massachusetts",2068,1677,25,025,170701,0.8109284332688588,2,25025170701
42,"Census Tract 1707.02, Suffolk County, Massachusetts",6044,4166,25,025,170702,0.6892786234281932,1,25025170702
43,"Census Tract 9004, Berkshire County, Massachusetts",5230,4339,25,003,900400,0.8296367112810707,2,25003900400
44,"Census Tract 9005, Berkshire County, Massachusetts",3350,3109,25,003,900500,0.9280597014925374,3,25003900500
45,"Census Tract 9006, Berkshire County, Massachusetts",3437,2659,25,003,900600,0.7736398021530404,2,25003900600
46,"Census Tract 9231, Berkshire County, Massachusetts",3169,3162,25,003,923100,0.9977911012937836,4,25003923100
47,"Census Tract 9241, Berkshire County, Massachusetts",1980,1866,25,003,924100,0.9424242424242424,4,25003924100
48,"Census Tract 9001, Berkshire County, Massachusetts",3128,2561,25,003,900100,0.8187340153452686,2,25003900100
49,"Census Tract 9141, Berkshire County, Massachusetts",5796,5277,25,003,914100,0.910455486542443,3,25003914100
50,"Census Tract 9261, Berkshire County, Massachusetts",3190,3155,25,003,926100,0.9890282131661442,4,25003926100
51,"Census Tract 9214, Berkshire County, Massachusetts",1477,1395,25,003,921400,0.9444820582261341,4,25003921400
52,"Census Tract 9007, Berkshire County, Massachusetts",2758,2731,25,003,900700,0.9902102973168962,4,25003900700
